Date,Price,Vol.,Change %
"Dec 31, 2020",0.8994,-,0.29%
"Dec 30, 2020",0.8968,-,-0.34%
"Dec 29, 2020",0.8998999999999999,-,-0.39%
"Dec 28, 2020",0.9034,-,0.02%
"Dec 25, 2020",0.9031999999999999,-,0.00%
"Dec 24, 2020",0.9031999999999999,-,-0.10%
"Dec 23, 2020",0.9041,-,-0.26%
"Dec 22, 2020",0.9065000000000001,-,0.68%
"Dec 21, 2020",0.9004000000000001,-,0.02%
"Dec 18, 2020",0.9002,-,0.22%
"Dec 17, 2020",0.8981999999999999,-,-0.70%
"Dec 16, 2020",0.9045000000000001,-,-0.02%
"Dec 15, 2020",0.9047,-,-0.26%
"Dec 14, 2020",0.9070999999999999,-,-0.30%
"Dec 11, 2020",0.9098,-,0.18%
"Dec 10, 2020",0.9081999999999999,-,-0.30%
"Dec 09, 2020",0.9109,-,0.13%
"Dec 08, 2020",0.9097,-,0.20%
"Dec 07, 2020",0.9079,-,0.10%
"Dec 04, 2020",0.907,-,-0.01%
"Dec 03, 2020",0.9070999999999999,-,-0.45%
"Dec 02, 2020",0.9112,-,-0.21%
"Dec 01, 2020",0.9131,-,-0.61%
"Nov 30, 2020",0.9187000000000001,-,0.09%
"Nov 27, 2020",0.9179,-,-0.22%
"Nov 26, 2020",0.9198999999999999,-,0.00%
"Nov 25, 2020",0.9198999999999999,-,-0.26%
"Nov 24, 2020",0.9223,-,-0.29%
"Nov 23, 2020",0.925,-,0.12%
"Nov 20, 2020",0.9239,-,0.11%
"Nov 19, 2020",0.9229,-,-0.03%
"Nov 18, 2020",0.9231999999999999,-,-0.11%
"Nov 17, 2020",0.9242,-,-0.24%
"Nov 16, 2020",0.9264,-,-0.12%
"Nov 13, 2020",0.9275,-,-0.23%
"Nov 12, 2020",0.9296,-,-0.09%
"Nov 11, 2020",0.9304000000000001,-,0.31%
"Nov 10, 2020",0.9275,-,0.03%
"Nov 09, 2020",0.9272,-,0.53%
"Nov 06, 2020",0.9223,-,-0.32%
"Nov 05, 2020",0.9253,-,-0.94%
"Nov 04, 2020",0.9340999999999999,-,-0.15%
"Nov 03, 2020",0.9355,-,-0.62%
"Nov 02, 2020",0.9412999999999999,-,0.10%
"Oct 30, 2020",0.9404,-,0.10%
"Oct 29, 2020",0.9395,-,0.58%
"Oct 28, 2020",0.9340999999999999,-,0.51%
"Oct 27, 2020",0.9294,-,-0.12%
"Oct 26, 2020",0.9305,-,0.30%
"Oct 23, 2020",0.9277,-,-0.19%
"Oct 22, 2020",0.9295,-,0.37%
"Oct 21, 2020",0.9261,-,-0.49%
"Oct 20, 2020",0.9307,-,-0.39%
"Oct 19, 2020",0.9343,-,-0.27%
"Oct 16, 2020",0.9368000000000001,-,-0.19%
"Oct 15, 2020",0.9386,-,0.51%
"Oct 14, 2020",0.9338,-,-0.16%
"Oct 13, 2020",0.9353,-,0.51%
"Oct 12, 2020",0.9306,-,0.00%
"Oct 09, 2020",0.9306,-,-0.59%
"Oct 08, 2020",0.9361,-,-0.02%
"Oct 07, 2020",0.9362999999999999,-,-0.06%
"Oct 06, 2020",0.9369,-,0.19%
"Oct 05, 2020",0.9351,-,-0.35%
"Oct 02, 2020",0.9384,-,0.14%
"Oct 01, 2020",0.9370999999999999,-,-0.19%
"Sep 30, 2020",0.9389,-,0.00%
"Sep 29, 2020",0.9389,-,-0.41%
"Sep 28, 2020",0.9428,-,-0.38%
"Sep 25, 2020",0.9464,-,0.31%
"Sep 24, 2020",0.9434999999999999,-,-0.04%
"Sep 23, 2020",0.9439,-,0.43%
"Sep 22, 2020",0.9399,-,0.35%
"Sep 21, 2020",0.9366,-,0.79%
"Sep 18, 2020",0.9293,-,-0.04%
"Sep 17, 2020",0.9297,-,-0.26%
"Sep 16, 2020",0.9320999999999999,-,0.17%
