ST,CB,PB,GO,CA,RETURN,VOLAT
100,0,0,0,0,10.405,6.485
80,20,0,0,0,8.324,5.305
80,0,20,0,0,8.324,5.033
80,0,0,20,0,9.657,5.718
80,0,0,0,20,6.975,4.89
60,40,0,0,0,6.243,4.161
60,20,20,0,0,6.243,3.861
60,20,0,20,0,7.577,4.64
60,20,0,0,20,4.894,3.705
60,0,40,0,0,6.243,3.596
60,0,20,20,0,7.577,4.304
60,0,20,0,20,4.894,3.461
60,0,0,40,0,8.91,5.325
60,0,0,20,20,6.228,4.078
60,0,0,0,40,3.546,3.373
40,60,0,0,0,4.162,3.093
40,40,20,0,0,4.162,2.754
40,40,0,20,0,5.496,3.668
40,40,0,0,20,2.813,2.576
40,20,40,0,0,4.162,2.453
40,20,20,20,0,5.496,3.296
40,20,20,0,20,2.813,2.304
40,20,0,40,0,6.829,4.467
40,20,0,20,20,4.147,3.035
40,20,0,0,40,1.465,2.224
40,0,60,0,0,4.162,2.209
40,0,40,20,0,5.496,2.948
40,0,40,0,20,2.813,2.098
40,0,20,40,0,6.829,4.093
40,0,20,20,20,4.147,2.697
40,0,20,0,40,1.465,2.068
40,0,0,60,0,8.163,5.391
40,0,0,40,20,5.481,3.795
40,0,0,20,40,2.798,2.49
40,0,0,0,60,0.116,2.123
20,80,0,0,0,2.081,2.218
20,60,20,0,0,2.081,1.829
20,60,0,20,0,3.415,2.911
20,60,0,0,20,0.732,1.627
20,40,40,0,0,2.081,1.482
20,40,20,20,0,3.415,2.509
20,40,20,0,20,0.732,1.316
20,40,0,40,0,4.748,3.826
20,40,0,20,20,2.066,2.211
20,40,0,0,40,-0.616,1.272
20,20,60,0,0,2.081,1.213
20,20,40,20,0,3.415,2.13
20,20,40,0,20,0.732,1.115
20,20,20,40,0,4.748,3.442
20,20,20,20,20,2.066,1.834
20,20,20,0,40,-0.616,1.169
20,20,0,60,0,6.082,4.838
20,20,0,40,20,3.4,3.121
20,20,0,20,40,0.718,1.594
20,20,0,0,60,-1.965,1.358
20,0,80,0,0,2.081,1.08
20,0,60,20,0,3.415,1.79
20,0,60,0,20,0.732,1.084
20,0,40,40,0,4.748,3.08
20,0,40,20,20,2.066,1.505
20,0,40,0,40,-0.616,1.24
20,0,20,60,0,6.082,4.474
20,0,20,40,20,3.4,2.759
20,0,20,20,40,0.718,1.295
20,0,20,0,60,-1.965,1.502
20,0,0,80,0,7.416,5.898
20,0,0,60,20,4.733,4.149
20,0,0,40,40,2.051,2.466
20,0,0,20,60,-0.631,1.2
20,0,0,0,80,-3.313,1.825
0,100,0,0,0,0.0,1.833
0,80,20,0,0,0.0,1.483
0,80,0,20,0,1.334,2.565
0,80,0,0,20,-1.349,1.324
0,60,40,0,0,0.0,1.211
0,60,20,20,0,1.334,2.194
0,60,20,0,20,-1.349,1.12
0,60,0,40,0,2.667,3.523
0,60,0,20,20,-0.015,1.913
0,60,0,0,40,-2.697,1.181
0,40,60,0,0,0.0,1.074
0,40,40,20,0,1.334,1.863
0,40,40,0,20,-1.349,1.086
0,40,20,40,0,2.667,3.168
0,40,20,20,20,-0.015,1.598
0,40,20,0,40,-2.697,1.248
0,40,0,60,0,4.001,4.566
0,40,0,40,20,1.319,2.86
0,40,0,20,40,-1.363,1.408
0,40,0,0,60,-4.046,1.514
0,20,80,0,0,0.0,1.124
0,20,60,20,0,1.334,1.598
0,20,60,0,20,-1.349,1.236
0,20,40,40,0,2.667,2.844
0,20,40,20,20,-0.015,1.367
0,20,40,0,40,-2.697,1.465
0,20,20,60,0,4.001,4.227
0,20,20,40,20,1.319,2.543
0,20,20,20,40,-1.363,1.239
0,20,20,0,60,-4.046,1.767
0,20,0,80,0,5.335,5.648
0,20,0,60,20,2.652,3.914
0,20,0,40,40,-0.03,2.278
0,20,0,20,60,-2.712,1.246
0,20,0,0,80,-5.394,2.111
0,0,100,0,0,0.0,1.34
0,0,80,20,0,1.334,1.434
0,0,80,0,20,-1.349,1.516
0,0,60,40,0,2.667,2.562
0,0,60,20,20,-0.015,1.268
0,0,60,0,40,-2.697,1.777
0,0,40,60,0,4.001,3.913
0,0,40,40,20,1.319,2.275
0,0,40,20,40,-1.363,1.23
0,0,40,0,60,-4.046,2.091
0,0,20,80,0,5.335,5.321
0,0,20,60,20,2.652,3.605
0,0,20,40,40,-0.03,2.033
0,0,20,20,60,-2.712,1.331
0,0,20,0,80,-5.394,2.439
0,0,0,100,0,6.668,6.749
0,0,0,80,20,3.986,5.007
0,0,0,60,40,1.304,3.319
0,0,0,40,60,-1.378,1.855
0,0,0,20,80,-4.061,1.544
0,0,0,0,100,-6.743,2.809
