Date,Price,Vol.,Change %
"Dec 31, 2020",0.899,-,0.29%
"Dec 30, 2020",0.897,-,-0.34%
"Dec 29, 2020",0.9,-,-0.39%
"Dec 28, 2020",0.903,-,0.02%
"Dec 25, 2020",0.903,-,0.00%
"Dec 24, 2020",0.903,-,-0.10%
"Dec 23, 2020",0.904,-,-0.26%
"Dec 22, 2020",0.907,-,0.68%
"Dec 21, 2020",0.9,-,0.02%
"Dec 18, 2020",0.9,-,0.22%
"Dec 17, 2020",0.898,-,-0.70%
"Dec 16, 2020",0.905,-,-0.02%
"Dec 15, 2020",0.905,-,-0.26%
"Dec 14, 2020",0.907,-,-0.30%
"Dec 11, 2020",0.91,-,0.18%
"Dec 10, 2020",0.908,-,-0.30%
"Dec 09, 2020",0.911,-,0.13%
"Dec 08, 2020",0.91,-,0.20%
"Dec 07, 2020",0.908,-,0.10%
"Dec 04, 2020",0.907,-,-0.01%
"Dec 03, 2020",0.907,-,-0.45%
"Dec 02, 2020",0.911,-,-0.21%
"Dec 01, 2020",0.913,-,-0.61%
"Nov 30, 2020",0.919,-,0.09%
"Nov 27, 2020",0.918,-,-0.22%
"Nov 26, 2020",0.92,-,0.00%
"Nov 25, 2020",0.92,-,-0.26%
"Nov 24, 2020",0.922,-,-0.29%
"Nov 23, 2020",0.925,-,0.12%
"Nov 20, 2020",0.924,-,0.11%
"Nov 19, 2020",0.923,-,-0.03%
"Nov 18, 2020",0.923,-,-0.11%
"Nov 17, 2020",0.924,-,-0.24%
"Nov 16, 2020",0.926,-,-0.12%
"Nov 13, 2020",0.928,-,-0.23%
"Nov 12, 2020",0.93,-,-0.09%
"Nov 11, 2020",0.93,-,0.31%
"Nov 10, 2020",0.928,-,0.03%
"Nov 09, 2020",0.927,-,0.53%
"Nov 06, 2020",0.922,-,-0.32%
"Nov 05, 2020",0.925,-,-0.94%
"Nov 04, 2020",0.934,-,-0.15%
"Nov 03, 2020",0.936,-,-0.62%
"Nov 02, 2020",0.941,-,0.10%
"Oct 30, 2020",0.94,-,0.10%
"Oct 29, 2020",0.94,-,0.58%
"Oct 28, 2020",0.934,-,0.51%
"Oct 27, 2020",0.929,-,-0.12%
"Oct 26, 2020",0.93,-,0.30%
"Oct 23, 2020",0.928,-,-0.19%
"Oct 22, 2020",0.93,-,0.37%
"Oct 21, 2020",0.926,-,-0.49%
"Oct 20, 2020",0.931,-,-0.39%
"Oct 19, 2020",0.934,-,-0.27%
"Oct 16, 2020",0.937,-,-0.19%
"Oct 15, 2020",0.939,-,0.51%
"Oct 14, 2020",0.934,-,-0.16%
"Oct 13, 2020",0.935,-,0.51%
"Oct 12, 2020",0.931,-,0.00%
"Oct 09, 2020",0.931,-,-0.59%
"Oct 08, 2020",0.936,-,-0.02%
"Oct 07, 2020",0.936,-,-0.06%
"Oct 06, 2020",0.937,-,0.19%
"Oct 05, 2020",0.935,-,-0.35%
"Oct 02, 2020",0.938,-,0.14%
"Oct 01, 2020",0.937,-,-0.19%
"Sep 30, 2020",0.939,-,0.00%
"Sep 29, 2020",0.939,-,-0.41%
"Sep 28, 2020",0.943,-,-0.38%
"Sep 25, 2020",0.946,-,0.31%
"Sep 24, 2020",0.943,-,-0.04%
"Sep 23, 2020",0.944,-,0.43%
"Sep 22, 2020",0.94,-,0.35%
"Sep 21, 2020",0.937,-,0.79%
"Sep 18, 2020",0.929,-,-0.04%
"Sep 17, 2020",0.93,-,-0.26%
"Sep 16, 2020",0.932,-,0.17%
"Sep 15, 2020",0.93,-,0.00%
"Sep 14, 2020",0.93,-,-0.30%
"Sep 11, 2020",0.933,-,-0.01%
"Sep 10, 2020",0.933,-,0.10%
"Sep 09, 2020",0.932,-,-0.20%
"Sep 08, 2020",0.934,-,0.78%
"Sep 07, 2020",0.927,-,0.00%
"Sep 04, 2020",0.927,-,-0.02%
"Sep 03, 2020",0.927,-,-0.12%
"Sep 02, 2020",0.928,-,0.55%
"Sep 01, 2020",0.923,-,0.22%
"Aug 31, 2020",0.921,-,-0.25%
"Aug 28, 2020",0.924,-,-0.68%
"Aug 27, 2020",0.93,-,-0.01%
"Aug 26, 2020",0.93,-,-0.01%
"Aug 25, 2020",0.93,-,-0.30%
"Aug 24, 2020",0.933,-,0.05%
"Aug 21, 2020",0.932,-,0.50%
"Aug 20, 2020",0.928,-,-0.11%
"Aug 19, 2020",0.929,-,0.67%
"Aug 18, 2020",0.923,-,-0.62%
"Aug 17, 2020",0.928,-,-0.27%
"Aug 14, 2020",0.931,-,-0.25%
"Aug 13, 2020",0.933,-,-0.12%
"Aug 12, 2020",0.934,-,-0.20%
"Aug 11, 2020",0.936,-,0.05%
"Aug 10, 2020",0.936,-,0.15%
"Aug 07, 2020",0.934,-,0.70%
"Aug 06, 2020",0.928,-,-0.09%
"Aug 05, 2020",0.929,-,-0.55%
"Aug 04, 2020",0.934,-,-0.17%
"Aug 03, 2020",0.935,-,0.20%
"Jul 31, 2020",0.934,-,0.35%
"Jul 30, 2020",0.93,-,-0.46%
"Jul 29, 2020",0.934,-,-0.27%
"Jul 28, 2020",0.937,-,0.03%
"Jul 27, 2020",0.937,-,-0.82%
"Jul 24, 2020",0.944,-,-0.26%
"Jul 23, 2020",0.947,-,-0.32%
"Jul 22, 2020",0.95,-,-0.14%
"Jul 21, 2020",0.951,-,-0.74%
"Jul 20, 2020",0.958,-,-0.11%
"Jul 17, 2020",0.959,-,-0.43%
"Jul 16, 2020",0.963,-,0.28%
"Jul 15, 2020",0.961,-,-0.19%
"Jul 14, 2020",0.963,-,-0.21%
"Jul 13, 2020",0.965,-,-0.20%
"Jul 10, 2020",0.966,-,-0.05%
"Jul 09, 2020",0.967,-,0.28%
"Jul 08, 2020",0.964,-,-0.46%
"Jul 07, 2020",0.969,-,0.17%
"Jul 06, 2020",0.967,-,-0.46%
"Jul 03, 2020",0.972,-,-0.15%
"Jul 02, 2020",0.973,-,0.12%
"Jul 01, 2020",0.972,-,-0.20%
"Jun 30, 2020",0.974,-,-0.15%
"Jun 29, 2020",0.975,-,0.11%
"Jun 26, 2020",0.974,-,0.00%
"Jun 25, 2020",0.974,-,0.29%
"Jun 24, 2020",0.972,-,0.52%
"Jun 23, 2020",0.966,-,-0.40%
"Jun 22, 2020",0.97,-,-0.59%
"Jun 19, 2020",0.976,-,0.21%
"Jun 18, 2020",0.974,-,0.27%
"Jun 17, 2020",0.972,-,0.21%
"Jun 16, 2020",0.97,-,0.26%
"Jun 15, 2020",0.967,-,-0.63%
"Jun 12, 2020",0.973,-,0.61%
"Jun 11, 2020",0.967,-,0.80%
"Jun 10, 2020",0.96,-,-0.37%
"Jun 09, 2020",0.963,-,-0.31%
"Jun 08, 2020",0.966,-,-0.33%
"Jun 05, 2020",0.969,-,0.27%
"Jun 04, 2020",0.967,-,-0.62%
"Jun 03, 2020",0.973,-,-0.40%
"Jun 02, 2020",0.977,-,-0.16%
"Jun 01, 2020",0.978,-,-0.52%
"May 29, 2020",0.983,-,-0.04%
"May 28, 2020",0.984,-,-0.69%
"May 27, 2020",0.991,-,0.15%
"May 26, 2020",0.989,-,-0.95%
"May 25, 2020",0.999,-,0.00%
"May 22, 2020",0.999,-,0.49%
"May 21, 2020",0.994,-,0.25%
"May 20, 2020",0.991,-,-0.25%
"May 19, 2020",0.994,-,-0.30%
"May 18, 2020",0.997,-,-0.73%
"May 15, 2020",1.004,-,-0.07%
"May 14, 2020",1.005,-,0.23%
"May 13, 2020",1.002,-,0.31%
"May 12, 2020",0.999,-,-0.31%
"May 11, 2020",1.002,-,0.51%
"May 08, 2020",0.997,-,-0.16%
"May 07, 2020",0.999,-,-0.20%
"May 06, 2020",1.001,-,0.38%
"May 05, 2020",0.997,-,0.23%
"May 04, 2020",0.995,-,0.40%
"May 01, 2020",0.991,-,0.06%
"Apr 30, 2020",0.99,-,-0.54%
"Apr 29, 2020",0.996,-,-0.30%
"Apr 28, 2020",0.999,-,-0.18%
"Apr 27, 2020",1.0,-,-0.34%
"Apr 24, 2020",1.004,-,-0.05%
"Apr 23, 2020",1.004,-,0.04%
"Apr 22, 2020",1.004,-,0.13%
"Apr 21, 2020",1.003,-,0.31%
"Apr 20, 2020",1.0,-,0.17%
"Apr 17, 2020",0.998,-,-0.25%
"Apr 16, 2020",1.0,-,0.57%
"Apr 15, 2020",0.995,-,0.58%
"Apr 14, 2020",0.989,-,-0.46%
"Apr 13, 2020",0.993,-,-0.17%
"Apr 10, 2020",0.995,-,0.00%
"Apr 09, 2020",0.995,-,-0.60%
"Apr 08, 2020",1.001,-,0.22%
"Apr 07, 2020",0.999,-,-0.78%
"Apr 06, 2020",1.007,-,0.11%
"Apr 03, 2020",1.006,-,0.40%
"Apr 02, 2020",1.002,-,0.51%
"Apr 01, 2020",0.997,-,0.63%
"Mar 31, 2020",0.99,-,-0.13%
"Mar 30, 2020",0.992,-,0.83%
"Mar 27, 2020",0.984,-,-1.00%
"Mar 26, 2020",0.993,-,-1.68%
"Mar 25, 2020",1.01,-,-0.97%
"Mar 24, 2020",1.02,-,-0.44%
"Mar 23, 2020",1.025,-,-0.32%
"Mar 20, 2020",1.028,-,0.07%
"Mar 19, 2020",1.028,-,1.57%
"Mar 18, 2020",1.012,-,1.59%
"Mar 17, 2020",0.996,-,1.54%
"Mar 16, 2020",0.981,-,-0.69%
"Mar 13, 2020",0.988,-,1.31%
"Mar 12, 2020",0.975,-,0.99%
"Mar 11, 2020",0.965,-,0.10%
"Mar 10, 2020",0.964,-,1.60%
"Mar 09, 2020",0.949,-,-1.10%
"Mar 06, 2020",0.96,-,-0.90%
"Mar 05, 2020",0.968,-,-0.53%
"Mar 04, 2020",0.973,-,0.20%
